Fund Name,Firm Name,Fund Size US$ Bil.,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,SECID,Firm Total Assets,Firm Total Assets Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B2W,"2,812,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J9R,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B13,"3,211,905,835.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UDK,"3,211,905,835.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LW20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MG5M,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NFKD,"2,349,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CSW,"2,349,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ESH,"1,782,500,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DY2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C6K,"2,533,252,588.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LICV,"30,000,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06Y3E,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08NW7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05JU8,"4,600,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LAF,"4,600,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LAG,"4,600,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0905S,"5,485,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L80,"2,939,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000RH9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITYL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L1O,"6,629,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JA1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06KFO,"8,160,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06KFP,"8,160,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MKT,"8,160,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B9C,"7,000,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0603F,"7,000,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06NVH,"21,203,625,001.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OZV,"1,597,497,376.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OZW,"1,597,497,376.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BOH,"127,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z53,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9CI,"5,220,907,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9CJ,"5,220,907,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9CH,"5,220,907,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MGC9,"5,220,907,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VN5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VN6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VN7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFL,"1,448,700,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFN,"1,448,700,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z7U,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CG5,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E1S,"8,160,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E1U,"8,160,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B46,"1,504,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KXD,"1,713,194,761.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06A7P,"2,661,462,526.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AQ5,"4,499,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KV4,"3,640,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06C57,"3,259,816,097.00",12/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0909H,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D6K,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06P2K,"3,300,000,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BD1,"1,603,930,177.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITJ0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CP4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MA7S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GWG3,"1,277,297,481.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08S1Y,"1,277,297,481.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPE,"1,277,297,481.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KVK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LICX,"30,000,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B4A,"6,840,000,000.00",2/28/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N5ZL,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9OL,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZIR,"2,812,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DWH,"3,636,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DK8,"9,500,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BHC,"4,631,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZT4,"6,186,841,665.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BP4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BP8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BPA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z7F,"2,221,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L3P,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HQ6,"2,021,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CHI,"2,140,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KWT,"1,301,048,261.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08647,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H3X,"2,040,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07WT1,"988,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H5EG,"664,700,000.00",4/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ASU,"2,410,439,237.00",12/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08NKV,"1,515,600,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C11,"14,200,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EOU,"2,939,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZGC,"61,969,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HKD,"1,900,000,000.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BYI,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BYL,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07WYE,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08RQV,"201,079,680.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06TZM,"459,261.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BHB,"4,631,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KX4,"3,063,031,708.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L9X,"1,003,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J9S,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LIEY,"865,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AVO,"1,470,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D9A,"2,078,306,870.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BAA,"105,900,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06XRX,"856,156,685.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GFE,"1,720,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR0547G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MOLR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CMJ,"990,074,840.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AUE,"1,216,069,094.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRX6,"880,600,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J9P,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JROR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HX2,"854,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06RA8,"848,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06RA9,"848,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0904I,"8,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MGMS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRMY,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LIA,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LIB,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CPP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09GCY,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J9L,"6,629,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HQY,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H2X,"3,721,083,734.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IEJ,"246,000,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06K9R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L4Q,"7,385,500,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J9Q,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CQQ,"2,542,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ET4,"1,050,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IRQ,"4,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GA1,"2,740,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06K46,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SEP,"1,125,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LMPA,"2,148,259,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JXZL,"1,970,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06D2B,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JWA,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LQW3,"8,355,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HX6,"902,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HX7,"902,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CT0,"1,650,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08P2L,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DCY,"745,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MAEW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VMI,"4,589,491,592.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IB1,"1,080,503,365.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HR6,"1,030,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PVW,"1,030,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E5D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HHDR,"1,200,000,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MEJO,"8,474,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000265K,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H0NA,"3,726,146,966.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I87,"1,701,023,987.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QVL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A5S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A5T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A5U,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KRY,"630,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06NVG,"21,203,625,001.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JXZN,"1,970,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G57,"1,543,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZIT,"2,812,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AQ2,"4,499,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06N0Q,"1,104,000,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06C4Z,"1,518,850,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0901K,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FYT,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E9B,"10,211,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KX5,"3,063,031,708.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000260U,,
